file,name,name_kaytetye,audio,phrases,phrases_kaytetye,phrases_english
091_atyerte.png,Spotted Quoll,Atyerte,091_atyerte.mp3,091phrase_atyerte.mp3,"Atyertepe nhape atnwenthe aynewantheyenge. Tyangkwe nthepele atyerte inengepe anteyane, Rtwerrpe angkwerre, apewene aynanthe ape. Car-we angketyewe apeke, alarrewethelke aynanthe.","The spotted quoll is meat, they are around Redbank. Let's go and see if there are any tracks there and we might find one then."
092_atywetnpe.png,Perentie,Atywetnpe,092_atywetnpe.mp3,092phrase_atywetnpe.mp3,Atywetnpe tyangkwerre aynanthe — tyelartaye! Apenhe ampilpilewene aynanthepe atywetnpepe. Tyelartepange apenhe. Nyartepange arwelele etyerrane.,We'll follow this perentie's track . We'll follow it this way. It went this way. Oh it's here up in the tree.
093_ilpertenye.png,Wedge-tailed Eagle,Ilpertenye,093_ilpertenye.mp3,093phrase_ilpertenye.mp3,"Ilpertenye aperrane atnwenthe wethewe ilwekere, nharte aherrewethewe aperrane arerr-apinterantye errwele theye.","There's a wedge-tailed eagle flying high above looking down for meat, maybe for kangaroo."
094_mangwe.png,Cat,Mangwe,094_mangwe.mp3,,,
095_mantharre.png,Death Adder,Mantharre,095_mantharre.mp3,095phrase_mantharre.mp3,"Mantharre ntheketyartawe, tewene kwere errwatewethe kantyele rtame mpwarlepe arrtyenke errtywernepe peyakele rtame.","Look out for the death adder, don't step on it, as it has a barb on its tail, but no poison in its teeth."
096_aleke.png,Dog,Aleke,096_aleke.mp3,096phrase_aleke.mp3,"Aleke wayltake nhartepe aperrane, atnwenthe wethewe etnthwerrane, ilwekere.","That dingo is looking around for food, the poor thing. "
097_aleke_awelengke.png,Cheeky dog,Aleke awelengke,097_aleke_awelengke.mp3,097phrase_aleke_awelengke.mp3,"Aleke inenge nhartepe awelengke — mpa, aynanthe anpatyarrewene, atnheme aynewanthe.","They are cheeky dogs, let's go before they attack us."
098_mpwenyarrerane.png,Fall in love,Mpwenyarrerane,098_mpwenyarrerane.mp3,098phrase_mpwenyarrerane.mp3,"Nyarte ayenge mpwenyarrerane, nyartele aperranewethe. Nyartepe atyenge arelhe atnawerre atyengarle aperretnyewene, ayenge kwere mpwenyarrerane. ","I'm falling in love with that person, she is the right skin for me, she might come to me or I might go to that girl."
099_rrkantarrerane.png,Laugh,Rrkantarrerane,099_rrkantarrerane.mp3,099phrase_rrkantarrerane.mp3,"Atnhantewe nge rrkantarrenkepe. Na, nyartele atyenge nywerrpele atyenge angkerranele atyenge rrkantel-eletnheyayne etnyerrantye.","Who are you laughing at? No, it's that joker who's making me laugh."
100_etarreranenke.png,Thinking,Etarreranenke,100_etarreranenke.mp3,100phrase_etarreranenke.mp3,Alelaperte ayenge etarrengele alwene apertame.,"Wait a minute, let me think back."
101_ipmarrerantyenke.png,Swearing,Ipmarrerantyenke,101_ipmarrerantyenke.mp3,101phrase_ipmarrerantyenke.mp3,Nthelartepe atyenge rtame ipmarrerantye wantepenherteyange? Just layeke ayenge kwereyenge ahewepenhe aperte atyengepe ipmarrerantye.,What is he growling at me about? It's not as if I've been giving him cheek.
102_athamarrenke.png,Sad,Athamarrerane,102_athamarrenke.mp3,102phrase_athamarrenke.mp3,"Ayenge nthewartepe athamarrerane, nthewarteye iterrtyewe ayenge athamarrerane ilwekerewe.","I'm feeling sorry for that person, poor thing. I feel sad for them."
